,Authors,Title,Year,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Use in Thesis,Priority,Use for Thesis,DOI Link
125,"Bougrain, Frédéric; Laurenceau, Sylvain",Reuse of building components: an economic analysis,,,,,,,,,3.0,Look at conclusion - Maybe good argument for reuse from economical side (?),
126,"Hobbs, Gilli; Adams, Katherine",Reuse of building products and materials – barriers and opportunities,,,,,,,,,1.0,Reuse - why it is important and connection to data,
127,"Fujita M., Murai M., Iwata M.",Reuse system of building steel structures,2011.0,10.3130/aije.76.1025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867164799&doi=10.3130%2faije.76.1025&partnerID=40&md5=6db301b48ec76e2ba13394ed35d5a8f0,"The reuse system mentioned in this paper is an overall system for realizing a reuse business in a cyclic process of design, fabrication, construction, maintenance, dismantling, and storage. This system is one of methods to reduce environmental burden in the structural field. Here, we take up rolled H-section steel used for non-fireproof plants and warehouses. These buildings are assumed to be demolished within approximately 30 years. In this paper, the authors estimate the degree of reusable members through stock investigation of low-storied structure using rolled-H section steel. Classified figures of thesestructures, structural members and joints method, performance of structural members are shown. Then, characteristics materials of structural steel are estimated in each production year.",Building steel structure; Degree; Investigation; Reuse; Rolled H-section steel; Stock,Building steel structure; Degree; Investigation; Reuse; Stock; Building materials; Fireproofing; Steel construction; Structural members; Steel structures,Article,,3.0,Information needed for reuse of structural elements. Look at conclusion and method.,
128,,"Review of existing pre-demolition tools, policies, resources for identifying, quantifying and organizing the reclamation of reusable elements.",,,,,,,,,2.0,tbd,
129,"Vatika, Sharma; Meenu, Dave",SQL and NoSQL Databases,,,,,,,,,3.0,Look at conclusion and method. otherwise discard,
130,"Frank McSherry; Derek G. Murray; Isard, Michael",Scalability! But at what Cost?,,,,,,,,,3.0,tbd,
131,"Lai Y.-C., Carlsen M., Christiansson P., Svidt K.",Semantic-Web Supported Knowledge Management System: An Approach to Enhance Collaborative Building Design,2003.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-1642328307&partnerID=40&md5=eb9b39fdffe979c380107796acfeb7bb,"This paper focuses on a lightweight ontology-based knowledge management system, which is a main component of IT-CODE, a Semantic Web based virtual workspace for enhancing the collaboration at an early building design stage. Technologies with respect to de facto standards that are proposed by industry group W3C are implemented to develop this knowledge management system. Resource Description Framework (RDF) associated with its Schema (RDFS) is selected as ontology language of the system. RDF(S) with its embedded reasoning techniques provides a rich set of constructs to facilitate the generation of ontologies so that the annotated information can be machine readable. Initiatives taken in the building industry for the evolution of the Semantic Web will be overviewed in this paper. Potential benefits offered by the RDF(S)-based knowledge management system to the building industry will be explained. Approaches of how the knowledge is represented in RDF-based ontology, is shared and retrieved among actors participating in the early design phase of a building project will also be described and illustrated. The paper will conclude with a description of how the early design phase may benefit from IT-CODE and its innovative knowledge management system.",Collaborative design; Knowledge management system; Ontologies; RDF(S); Semantic-web,Computer supported cooperative work; Information science; Problem solving; Product development; Semantics; Societies and institutions; World Wide Web; Collaborative design; Knowledge management system; Ontologies; Semantic-web; Knowledge based systems,Conference Paper,,2.0,Source for RDF(S) - look at this section to get overview,
132,"Pauwels P., Roxin A.",SimpleBIM: From full ifcOWL graphs to simplified building graphs,2016.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016569276&partnerID=40&md5=ba272c0308076f22be93d317a2413570,"Recent research in semantic web technologies for the built environment has resulted in several proposals to further improve information exchange among stakeholders from the domain. Most notable is the production of several OWL ontologies that allow to capture building data in RDF graphs. For example, an ifcOWL ontology allows to capture IFC data in an RDF graph. As the building data is now available in a semantic graph with an explicit formal basis, it can be restructured and simplified so that it more easily matches the different requirements associated with practical use case scenarios. In this paper, we investigate several proposals and technological approaches to simplify ifcOWL building data, thus addressing the needs of specific industrial use cases. © 2016 Taylor & Francis Group.",,Ontology; Process engineering; Built environment; Industrial use case; Information exchanges; OWL ontologies; Practical use; Recent researches; Semantic graphs; Semantic Web technology; Semantic Web,Conference Paper,,3.0,link to ifcOWL - use if the ifcOWL-paper is included in Research,
133,"Böger L., Huhnt W., Wernik S.",Standardized names for object types and attributes as basis for cooperation between planning and building,2018.0,10.1007/978-3-319-91638-5_17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048971333&doi=10.1007%2f978-3-319-91638-5_17&partnerID=40&md5=c3a01902b12cfa689014bb82465891c3,"When using Building Information Modeling (BIM), it is expected to increase interorganizational collaboration in the construction industry. To reach this goal, it is necessary to use open standards for model exchange such as the Industry Foundation Classes (IFC). The non-profit organization buildingSMART defines this standard. IFC provides object types and attributes, which describe properties of objects. The IFC standard do not address possible values for attributes; but beside coordinated names for object types and attributes, coordinated values for attributes are required. This is necessary for the evaluation of digital models for different purposes. Several approaches in the fields of ontology and classification systems address this issue. However, at present time there is no clear distinction between prerequisites that modeled objects have to fulfill and products, which satisfy these requirements. Suppliers or construction companies at the interface between planning and construction propose products for the modelled requirements of the planning process. This paper describes an approach that bases on a dictionary, which provides standardized object types, attributes and values. A project database and a database with products, called supplier database, use this dictionary as a basis. Resulting from the modeling phase, the project database is ultimately mapped with the supplier database to propose products that fulfill the requirements. The approach presented in this paper can be regarded as a next step in using a standard that already exists: the buildingSMART Data Dictionary. © Springer International Publishing AG, part of Springer Nature 2018.",Building Information Modeling (BIM); BuildingSMART Data Dictionary (bSDD); Industry Foundation Classes (IFC),Construction industry; Database systems; Information theory; Intelligent computing; Building Information Model - BIM; BuildingSMART Data Dictionary (bSDD); Classification system; Construction companies; Industry Foundation Classes - IFC; Interorganizational collaboration; Non profit organizations; Project database; Architectural design,Conference Paper,,3.0,"Look into BuildingSMART Data dictionnary - acutally more relevant for Zirkular, than for thesis",
134,Beetz J.,"Structured vocabularies in construction: Classifications, taxonomies and ontologies",2018.0,10.1007/978-3-319-92862-3_8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063562206&doi=10.1007%2f978-3-319-92862-3_8&partnerID=40&md5=a7b4259656153f687ff2d1e4fe3c190a,"Structured vocabularies are an important means of defining and structuring the meaning of concepts and terms used in the building industry to ensure their consistent use by all stakeholders over the life cycle of a construction. In their traditional form as text documents and tables they are designed for use by domain experts to facilitate the creation and use of unambiguous specifications, requirement documents and mutual agreements. In their digital, machine-readable form, they can be used in a Building Information Modeling context for the semantic annotation of model objects to further enhance exchange and interoperability in data exchange scenarios. This chapter introduces the fundamental concepts, application areas and technical implementations of such terminologies and structured vocabularies. © Springer International Publishing AG, part of Springer Nature 2018. All rights reserved.",,Construction industry; Electronic data interchange; Semantics; Application area; Building industry; Building Information Model - BIM; Domain experts; Fundamental concepts; Machine readable form; Semantic annotations; Technical implementation; Life cycle,Book Chapter,,1.0,"Basis to understand classifications, taxonomies and ontologies in the construction industry",
135,Jing Han; Haihong E; Guan Le; Jian Du,Survey on NoSQL database,,10.1109/ICPCA.2011.6106531,,,,,,,2.0,NoSQL DB comparision,
136,"Rezgui Y., Marks A.",Sustainable construction ontology development using information retrieval techniques,2011.0,10.1061/41182(416)18,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053154060&doi=10.1061%2f41182%28416%2918&partnerID=40&md5=39f43a68da79555a49e823234d0edd85,"The paper describes the ""SCrIPt"" methodology used to develop a sustainable construction domain ontology, taking into account the wealth of existing semantic resources in the construction sector. The latter range from construction taxonomies (e.g. IFCs) to energy calculation tools' internal data structures (i.e. conceptual database schema). The paper argues that taxonomies provide an ideal backbone for any ontology project. Equally, textual documents have an important role in sharing and conveying knowledge and understanding. Therefore, a construction industry standard taxonomy is used to provide the seeds of the ontology, enriched and expanded with additional concepts extracted from large construction sustainability and energy oriented document bases using information retrieval (tf-idf and Metric Clusters) techniques. The SCrIPt ontology will be used as the semantic engine for a Sustainability Construction Platform, commissioned by the Welsh Assembly Government in the UK. © 2011 ASCE.",Construction management; Information management; Sustainable development; United Kingdom,Construction management; Construction sectors; Database schemas; Domain ontologies; Energy calculation; Ontology development; Semantic resources; Sustainable construction; Textual documents; United kingdom; Welsh Assembly; Civil engineering; Construction industry; Data structures; Information management; Information retrieval; Information use; Project management; Semantics; Sustainable development; Taxonomies; Ontology,Conference Paper,,1.0,Overview over ontologies in Construction Industry + sustainable construction ontology - check if CE included! ,
137,"Pacheco-López A., Somoza-Tornos A., Graells M., Espuña A.",Synthesis and assessment of waste-to-resource routes for circular economy,2021.0,10.1016/j.compchemeng.2021.107439,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110535453&doi=10.1016%2fj.compchemeng.2021.107439&partnerID=40&md5=c17e5f7ebe42ff294b2cdf23e8a9ace4,"The benefits of the circular economy have been proven during the past two decades, but its application poses some challenges. In particular, the increasing number of potential waste-to-resource processing alternatives obstructs the identification of the most promising ones, besides the lack of efficient knowledge management tools and standardized assessment procedures. This contribution presents a systematic way to generate and assess new processing paths including waste-to-resource technologies, based on the use of a predefined ontological framework. An ontology is filled with transformation processes; then, several alternative paths are generated and assessed, according to a potentially available waste. The resulting list is classified according to pre-established parameters, thus presenting which are the potentially best alternatives to close the material loops and recover chemical resources. The proposed method is tested through the generation and evaluation of different routes for the treatment of plastic waste materials, with a special focus on chemical recycling. © 2021",Chemical recycling; Circular economy; Material upcycling; Ontologies; Plastic waste treatment; Waste-to-resource,Knowledge management; Ontology; Plastic recycling; Assessment procedure; Chemical recycling; Circular economy; ITS applications; Knowledge management tool; Material upcycling; Ontology's; Plastic waste treatment; Potential wastes; Waste-to-resource; Waste treatment,Article,,2.0,To make case about Ontologie for Inventories for Reuse-Purposes and in Circular Economy,
138,"Durmisevic, Elma",Systemic view on Reuse Potential of building elements components and systems - Comprehensive Framework for assessing Reuse Potential of Building Elements,,,,,,,,,1.0,Reusability,
139,"Hart, Edmund M.; Barmby, Pauline; LeBauer, David; Michonneau, François; Mount, Sarah; Mulrooney, Patrick; Poisot, Timothée; Woo, Kara H.; Zimmerman, Naupaka B.; Hollister, Jeffrey W.",Ten Simple Rules for Digital Data Storage,,10.1371/journal.pcbi.1005097,,,,,,,2.0,tbd,
140,"Brütting, Jan; De Wolf, Catherine; Fivet, Corentin",The reuse of load-bearing components,,10.1088/1755-1315/225/1/012025,,,,,,,1.0,Reuse of Load bearing components - Steel beam reuse - information ,
141,"Elshani D., Wortmann T., Staab S.",Towards Better Co-Design with Disciplinary Ontologies: Review and Evaluation of Data Interoperability in the AEC Industry,2022.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139385786&partnerID=40&md5=de7c352df6a3a6e9dcf7851a36352399,"In the building industry, disciplines have specific requirements for capturing, storing and representing information. As a result, one physical object yields several disciplinary representations, allowing designers to describe design options discipline-specifically and thus explore design differently. In a co-design approach, data from disciplines must be integrated and interoperable. But in current practice, interoperability problems between different software often hinders data integration. This paper presents a review and evaluation of interoperability paradigms in centralized, decentralized, and federated data, and it gives AEC application examples for each approach. It discusses data schemas (e.g. IFC) and interoperability tools (e.g. Speckle, BHoM). It also relates the interoperability tools to semantic web standards that are used to share information. It argues the advantages of federated data interoperability and suggests using design tools that employ such a mechanism. Furthermore, this paper suggests developing modular disciplinary ontologies to support collaborative design tools. Such federated interoperability, supported by modular disciplinary ontologies, can provide a solid ground to share and exchange data flexibly. © 2022 Copyright for this paper by its authors.",alignment; Building Information Modelling (BIM); Co-Design; Data mapping; Interoperability; Knowledge representation; Ontologies,Architectural design; Construction industry; Data integration; Interoperability; Ontology; AEC industry; Building industry; Building information modeling; Building Information Modelling; Co-designs; Data interoperability; Data mappings; Knowledge-representation; Modulars; Ontology's; Knowledge representation,Conference Paper,,2.0,Look at interoperability - definition and how it is seen in this paper,
142,"Verhoeven, Joran",Towards a circular built environment,,,,,,,,,3.0,tbd,
143,"Abanda F.H., Tah J.H.M.",Towards developing a sustainable building technology ontology,2008.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861065835&partnerID=40&md5=7da38496a88297af9452aa1af539e8d3,"Construction has a significant effect on human quality of life in the context of sustainable development. The UK government has long recognised this and is taking the lead towards a more sustainable approach to construction processes. Success towards a more sustainable construction can be achieved if the stakeholders are informed of the new technologies, innovations and knowledge emerging in the sector. Unfortunately, researchers and practitioners have pin-pointed some limitations with the current approaches in the management of knowledge within the construction sector. Interestingly, Semantic Web technologies, the next generation of the Web technologies, can be used to overcome these limitations. Semantic web technologies can considerably improve information representation, sharing and re-use. This paper investigates the extent to which Semantic Web technologies could be used in representing knowledge on emerging sustainable building technologies. This is done by reviewing the current state-of-the art of sustainable technologies in the UK construction industry. Furthermore, it examines the development of an ontology-driven knowledge base and its usage in the development of a semantic web application.",Ontology-driven knowledge base; Semantic web technology; Sustainability development,Construction process; Construction sectors; Information representation; Knowledge base; Quality of life; Semantic web applications; Semantic Web technology; State of the art; Sustainable building; Sustainable construction; Sustainable technology; UK construction industry; Web technologies; Construction industry; Intelligent buildings; Knowledge based systems; Project management; Research; Sustainable development; Technology,Conference Paper,,2.0,Look at definition of semanitc web technologies and what they are ,
144,"Eray E., Sanchez B., Haas C.",Usage of interface management system in adaptive reuse of buildings,2019.0,10.3390/buildings9050105,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071694534&doi=10.3390%2fbuildings9050105&partnerID=40&md5=5d8be821c28ae1614156969f64cf1a69,"Adaptive reuse of buildings is considered a superior alternative for new construction in terms of sustainability and a disruptive practice in the current capital project delivery model for the renewal of today's built environment. In comparison to green-field construction projects, adaptive reuse projects require distinct stages, definition of interfaces, decision gates, and planning methods in order to secure the success of the building project. Unfortunately, little research has been done regarding establishing feasible systems for the planning, assessment, and management of adaptive reuse projects, leading to underperforming building projects outcomes. Interface management (IM) can improve renovation projects outcomes by defining appropriate ways to identify, record, monitor, and track project interfaces. IM has the potential of bringing cost and time benefits during adaptive reuse projects execution. The aim of this study is to develop a reference framework for implementing IM for adaptive reuse projects. First, the inefficiencies of redevelopment projects are explained inside of a circular economy (CE) context. Second, an ontology of IM for adaptive reuse projects is defined based on the current barriers to adaptive reuse and the most common interface problems in construction projects. Third, the defined ontology is expanded through a case study by showing examples of adaptive reuse barriers on a case project, and how IM could have been part of the solution for these problems. Finally, this study concludes with the suggestions on interface management systems (IMS) implementation for future adaptive reuse projects. © 2019 by the authors.",Adaptive reuse of buildings; Barriers in adaptive reuse projects; Circular economy; Interface management system; Interface problems in construction projects,,Article,,1.0,IMPORTANT - Paper about Ontology for adaptive reuse. READ! ,
145,"Charef, Rabia; Emmitt, Stephen",Uses of building information modelling for overcoming barriers to a circular economy,,10.1016/j.jclepro.2020.124854,,,,,,,3.0,Overview BIM - literature review,
146,"Billiet, Lionel; Seys, Sophie",Vade-mecum pour le réemploi hors site,,,,,,,,,2.0,tbd,
147,Törmä S.,Web of building data - Integrating IFC with the web of data,2015.0,10.1201/b17396-27,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907360627&doi=10.1201%2fb17396-27&partnerID=40&md5=529539cd518f1f9da66e764795d0d9e1,"Massive amount of data is created about built environment: building codes, urban plans, infrastructure data, catalogs of building materials/components, building information and facility management models, indoor maps, sensor data streams, etc. But how could different parties efficiently use data produced by others? IFC standard has provided a common ontology across BIM models but so far there has not been a realistic overall paradigm for management of interrelated building data. Web of Data technologies - Semantic Web/Linked Data - can be used to interlink distributed building-related data with connections to activities, social networks, and business operations in buildings. IFC and Web of Data can have complementary roles in cross-model linking. IFC provides the ontology, detailed geometry, and existing export functions.Web of Data enables publishing, accessing, querying, and linking of data, and description of datasets. We discuss how to combine these technologies and what challenges remain. © 2015 Taylor & Francis Group.",,Architectural design; Building codes; Office buildings; Ontology; Process engineering; Social sciences computing; Built environment; Business operation; Cross model; Facility management; Ifc standards; In-buildings; Sensor data; Web of datum; Data integration,Conference Paper,,3.0,Look at IFC ontology and Web of data - definitions,
148,,What is a Knowledge Graph?,,,,,,,,,3.0,Definition of Knowledge Graph,
149,"Nakajima, Shiro; Russell, Mark",Working Commission W115 Construction Materials Stewardship,,,,,,,,,2.0,tbd - look at conclusion,
150,,bookletfcrbe-2_fitness_for_use.pdf,,,,,,,,,1.0,information on reusability by FCRBE,
151,,bookletfcrbe-4_waste_product.pdf,,,,,,,,,2.0,Information on reused elements - maybe also use in Introduction,
152,"John, Dr Viola",von Baukomponenten (RE-USE),,,,,,,,,2.0,tbd,
